interviewed_1	interviewed_2	interviewer_1	interviewer_2	interviewer_3	interviewer_4	operator	date	length	type	
Алексей Игоревич Любжин	-	Владимир Владимирович Файер	-	-	-	Владимир Владимирович Файер	1/14/2016	0:12:19	тематическое	
Нина Лазаревна Кацман	-	Владимир Владимирович Файер	-	-	-	Владимир Владимирович Файер	1/9/2017	0:57:29	тематическое	
Нина Лазаревна Кацман	-	Андрей Сергеевич Ванюков	-	-	-	Андрей Сергеевич Ванюков	4/13/2017	2:46:17	автобиографическое	
Александр Яковлевич Сыркин	-	Нина Владимировна Брагинская	-	-	-	Владимир Владимирович Файер	9/19/2017	2:44:04	автобиографическое	
Александр Васильевич Подосинов	-	Владимир Владимирович Файер	-	-	-	Владимир Владимирович Файер	12/7/2018	0:54:47	автобиографическое	
Александр Васильевич Подосинов	-	Владимир Владимирович Файер	-	-	-	Владимир Владимирович Файер	12/21/2018	0:57:27	автобиографическое	
										
										
										
										
										84:12:25
